"First Name and Last Name are required.","First Name và Last Name là bắt buộc."
"Age must be between 0 and 200.","Tuổi phải nằm trong khoảng 0 đến 200."
"""entity_id"" must be a positive integer.","""entity_id"" phải là số nguyên dương."
"""entity_id"" is required.","""entity_id"" là bắt buộc."
"""input"" is required.","""input"" là bắt buộc."
"""pageSize"" must be at least 1.","""pageSize"" phải lớn hơn hoặc bằng 1."
"""currentPage"" must be at least 1.","""currentPage"" phải lớn hơn hoặc bằng 1."
"Customer training entry with ID ""%1"" does not exist.","Bản ghi customer training với ID ""%1"" không tồn tại."
"Could not save customer training entry: %1","Không thể lưu bản ghi customer training: %1"
"Could not delete customer training entry: %1","Không thể xóa bản ghi customer training: %1"
"The customer training entry with ID %1 has been deleted.","Bản ghi customer training với ID %1 đã được xoá."
"The customer has been saved.","Khách hàng đã được lưu."
"The customer has been deleted.","Khách hàng đã được xoá."
"This customer no longer exists.","Khách hàng này không còn tồn tại."
"Something went wrong while saving the customer.","Đã có lỗi xảy ra khi lưu khách hàng."
"Could not delete the customer.","Không thể xoá khách hàng."
"We can't find a customer to delete.","Không tìm thấy khách hàng để xoá."
"Delete ""%1""","Xoá ""%1"""
"Are you sure you want to delete this customer?","Bạn có chắc chắn muốn xoá khách hàng này không?"
"Customer Training","Đào tạo Khách hàng"
"Manage Customers","Quản lý Khách hàng"
"Add New Customer","Thêm Khách hàng mới"
"%1 record(s) have been deleted.","Đã xoá %1 bản ghi."
